proj,run,startmonth,startday,endmonth,endday
BON,Spring,3,15,5,31
TDA,Spring,4,1,6,3
JDA,Spring,4,1,6,5
MCN,Spring,4,1,6,8
PRO,Spring,3,1,8,15
ROZ,Spring,1,1,12,31
IHR,Spring,4,1,6,11
LMN,Spring,4,1,6,13
LGS,Spring,4,15,6,15
LWG,Spring,3,1,6,17
PRD,Spring,4,15,6,13
RIS,Spring,4,14,6,17
RRH,Spring,4,16,6,19
TUM,Spring,4,14,6,17
WEL,Spring,5,1,6,28
ZOS,Spring,5,1,6,28
WAN,Spring,4,15,6,13
WFF,Spring,1,1,8,15
BON,Summer,6,16,7,31
TDA,Summer,6,4,8,3
JDA,Summer,6,6,8,5
MCN,Summer,6,9,8,8
IHR,Summer,6,12,8,11
LMN,Summer,6,14,8,13
LGS,Summer,6,16,8,15
LWG,Summer,6,18,8,17
PRD,Summer,6,14,8,13
RIS,Summer,6,18,8,17
RRH,Summer,6,20,8,19
TUM,Summer,6,18,8,17
WEL,Summer,6,29,8,28
ZOS,Summer,6,29,8,28
WAN,Summer,6,14,8,13
BON,Fall,8,1,11,15
TDA,Fall,8,4,10,31
JDA,Fall,8,6,10,31
MCN,Fall,8,9,10,31
PRO,Fall,8,16,12,29
IHR,Fall,8,12,12,15
LMN,Fall,8,14,10,31
LGS,Fall,8,16,10,31
LWG,Fall,8,18,12,15
PRD,Fall,8,14,11,15
RIS,Fall,8,18,11,14
RRH,Fall,8,20,11,14
TUM,Fall,8,18,11,14
WEL,Fall,8,29,11,15
ZOS,Fall,8,29,11,15
WAN,Fall,8,14,11,15
WFF,Fall,8,16,12,31
